car_age,km_driven,price_new,accident_count,door_count,transmission,fuel,y_pred,timestamp
9.0,126366.0,42195.0,1.0,4.0,2.0,1.0,7149.0,2017-02-16 16:34:09.600
6.0,99621.0,33302.0,3.0,4.0,2.0,1.0,5007.0,2017-02-16 16:34:43.200
11.0,176544.0,27417.0,3.0,4.0,2.0,1.0,1853.0,2017-02-16 16:35:16.800
15.0,124812.0,37641.0,5.0,5.0,3.0,2.0,102.0,2017-02-16 16:35:50.400
13.0,44129.0,42050.0,2.0,5.0,2.0,2.0,5335.0,2017-02-16 16:36:24.000
5.0,43412.0,40648.0,2.0,5.0,2.0,2.0,10890.0,2017-02-16 16:36:57.600
9.0,124515.0,47156.0,2.0,4.0,2.0,2.0,5403.0,2017-02-16 16:37:31.200
18.0,109499.0,40804.0,3.0,5.0,1.0,1.0,3080.0,2017-02-16 16:38:04.800
20.0,75251.0,37739.0,2.0,4.0,3.0,2.0,2146.0,2017-02-16 16:38:38.400
12.0,58452.0,43519.0,1.0,2.0,3.0,1.0,8487.0,2017-02-16 16:39:12.000
4.0,41928.0,36753.0,1.0,5.0,3.0,1.0,14193.0,2017-02-16 16:39:45.600
10.0,49070.0,35283.0,3.0,5.0,3.0,1.0,5073.0,2017-02-16 16:40:19.200
4.0,165673.0,46236.0,1.0,5.0,2.0,1.0,9499.0,2017-02-16 16:40:52.800
19.0,76440.0,27334.0,1.0,2.0,2.0,2.0,3310.0,2017-02-16 16:41:26.400
8.0,177049.0,38118.0,2.0,4.0,3.0,1.0,3848.0,2017-02-16 16:42:00.000
2.0,144329.0,26509.0,1.0,4.0,1.0,2.0,6675.0,2017-02-16 16:42:33.600
13.0,178271.0,31252.0,2.0,5.0,1.0,1.0,2689.0,2017-02-16 16:43:07.200
1.0,121832.0,31113.0,2.0,2.0,2.0,1.0,8821.0,2017-02-16 16:43:40.800
9.0,107657.0,23905.0,3.0,5.0,2.0,2.0,1836.0,2017-02-16 16:44:14.400
9.0,87521.0,36863.0,3.0,4.0,2.0,1.0,4932.0,2017-02-16 16:44:48.000
3.0,63148.0,22938.0,1.0,2.0,3.0,1.0,10361.0,2017-02-16 16:45:21.600
7.0,152736.0,29690.0,3.0,3.0,2.0,1.0,3640.0,2017-02-16 16:45:55.200
3.0,164467.0,31937.0,2.0,5.0,1.0,2.0,5266.0,2017-02-16 16:46:28.800
5.0,117331.0,27969.0,5.0,5.0,2.0,2.0,1880.0,2017-02-16 16:47:02.400
19.0,63989.0,40667.0,2.0,4.0,2.0,1.0,3801.0,2017-02-16 16:47:36.000
9.0,26389.0,36712.0,2.0,4.0,2.0,1.0,8637.0,2017-02-16 16:48:09.600
7.0,136175.0,24711.0,3.0,4.0,2.0,1.0,3017.0,2017-02-16 16:48:43.200
15.0,39057.0,31096.0,1.0,4.0,2.0,2.0,4587.0,2017-02-16 16:49:16.800
11.0,131470.0,41740.0,2.0,5.0,3.0,1.0,3830.0,2017-02-16 16:49:50.400
16.0,46551.0,36162.0,1.0,4.0,2.0,1.0,5959.0,2017-02-16 16:50:24.000
18.0,167358.0,21642.0,3.0,4.0,2.0,1.0,439.0,2017-02-16 16:50:57.600
14.0,52641.0,33755.0,1.0,4.0,1.0,1.0,6468.0,2017-02-16 16:51:31.200
11.0,83575.0,19934.0,2.0,5.0,2.0,1.0,2859.0,2017-02-16 16:52:04.800
11.0,77053.0,34568.0,1.0,5.0,2.0,2.0,5243.0,2017-02-16 16:52:38.400
12.0,121492.0,27342.0,1.0,4.0,3.0,2.0,3086.0,2017-02-16 16:53:12.000
17.0,27026.0,33330.0,1.0,4.0,1.0,1.0,6204.0,2017-02-16 16:53:45.600
13.0,160159.0,43015.0,2.0,5.0,2.0,1.0,3285.0,2017-02-16 16:54:19.200
10.0,46687.0,34259.0,1.0,5.0,2.0,1.0,8341.0,2017-02-16 16:54:52.800
10.0,13358.0,31828.0,1.0,4.0,1.0,1.0,10066.0,2017-02-16 16:55:26.400
8.0,135055.0,36444.0,1.0,4.0,1.0,2.0,5862.0,2017-02-16 16:56:00.000
11.0,159336.0,25792.0,1.0,4.0,2.0,1.0,3125.0,2017-02-16 16:56:33.600
19.0,64379.0,23597.0,2.0,5.0,2.0,1.0,2045.0,2017-02-16 16:57:07.200
9.0,73185.0,27864.0,1.0,5.0,3.0,1.0,5709.0,2017-02-16 16:57:40.800
11.0,156213.0,39305.0,1.0,4.0,2.0,1.0,4989.0,2017-02-16 16:58:14.400
2.0,176528.0,28810.0,3.0,3.0,2.0,1.0,4437.0,2017-02-16 16:58:48.000
4.0,44474.0,38932.0,1.0,3.0,3.0,1.0,15835.0,2017-02-16 16:59:21.600
9.0,11074.0,23630.0,1.0,4.0,3.0,1.0,7662.0,2017-02-16 16:59:55.200
10.0,151914.0,28547.0,3.0,5.0,3.0,1.0,1807.0,2017-02-16 17:00:28.800
7.0,61778.0,21012.0,4.0,5.0,3.0,2.0,1949.0,2017-02-16 17:01:02.400
13.0,132299.0,22796.0,5.0,3.0,2.0,2.0,534.0,2017-02-16 17:01:36.000
17.0,103766.0,37115.0,1.0,5.0,1.0,1.0,4368.0,2017-02-16 17:02:09.600
4.0,137002.0,47446.0,1.0,5.0,2.0,2.0,9429.0,2017-02-16 17:02:43.200
6.0,162950.0,34799.0,3.0,4.0,1.0,1.0,4520.0,2017-02-16 17:03:16.800
18.0,22711.0,31696.0,1.0,2.0,1.0,1.0,6095.0,2017-02-16 17:03:50.400
3.0,134400.0,29159.0,1.0,2.0,3.0,1.0,7827.0,2017-02-16 17:04:24.000
12.0,187293.0,25999.0,1.0,5.0,3.0,2.0,1362.0,2017-02-16 17:04:57.600
10.0,148601.0,40104.0,3.0,4.0,2.0,1.0,3647.0,2017-02-16 17:05:31.200
12.0,55490.0,38363.0,1.0,2.0,1.0,2.0,7966.0,2017-02-16 17:06:04.800
9.0,183783.0,43208.0,2.0,5.0,2.0,1.0,4351.0,2017-02-16 17:06:38.400
11.0,23444.0,28477.0,3.0,4.0,3.0,1.0,4864.0,2017-02-16 17:07:12.000
11.0,88777.0,44224.0,3.0,4.0,1.0,1.0,5640.0,2017-02-16 17:07:45.600
18.0,23217.0,18903.0,2.0,3.0,2.0,1.0,2448.0,2017-02-16 17:08:19.200
11.0,88376.0,32353.0,1.0,3.0,2.0,1.0,6223.0,2017-02-16 17:08:52.800
12.0,81338.0,34671.0,4.0,4.0,3.0,1.0,2738.0,2017-02-16 17:09:26.400
3.0,115154.0,27000.0,3.0,4.0,3.0,1.0,4748.0,2017-02-16 17:10:00.000
14.0,152394.0,39524.0,2.0,5.0,3.0,2.0,1488.0,2017-02-16 17:10:33.600
15.0,45149.0,23498.0,2.0,4.0,3.0,2.0,2109.0,2017-02-16 17:11:07.200
9.0,57772.0,20860.0,1.0,4.0,2.0,2.0,4973.0,2017-02-16 17:11:40.800
8.0,116618.0,41019.0,2.0,3.0,2.0,1.0,6732.0,2017-02-16 17:12:14.400
10.0,23597.0,44653.0,4.0,5.0,1.0,1.0,6720.0,2017-02-16 17:12:48.000
16.0,44398.0,32405.0,5.0,4.0,2.0,1.0,2145.0,2017-02-16 17:13:21.600
17.0,124561.0,31105.0,1.0,4.0,3.0,1.0,2494.0,2017-02-16 17:13:55.200
8.0,77272.0,32633.0,5.0,5.0,2.0,1.0,3349.0,2017-02-16 17:14:28.800
13.0,47538.0,24601.0,2.0,4.0,1.0,2.0,3537.0,2017-02-16 17:15:02.400
14.0,173127.0,35786.0,2.0,3.0,2.0,1.0,2951.0,2017-02-16 17:15:36.000
6.0,176841.0,31987.0,3.0,4.0,2.0,1.0,3417.0,2017-02-16 17:16:09.600
6.0,30948.0,28195.0,5.0,4.0,2.0,1.0,5042.0,2017-02-16 17:16:43.200
10.0,161205.0,29200.0,2.0,2.0,1.0,1.0,4314.0,2017-02-16 17:17:16.800
17.0,98556.0,34635.0,1.0,4.0,3.0,1.0,3559.0,2017-02-16 17:17:50.400
16.0,144331.0,35493.0,2.0,4.0,2.0,2.0,1765.0,2017-02-16 17:18:24.000
3.0,82061.0,20550.0,3.0,4.0,2.0,1.0,5121.0,2017-02-16 17:18:57.600
17.0,129901.0,24750.0,1.0,5.0,2.0,1.0,1959.0,2017-02-16 17:19:31.200
2.0,65410.0,36483.0,1.0,3.0,3.0,1.0,14923.0,2017-02-16 17:20:04.800
13.0,55032.0,34719.0,1.0,4.0,1.0,1.0,7073.0,2017-02-16 17:20:38.400
2.0,158786.0,24991.0,3.0,3.0,1.0,1.0,4623.0,2017-02-16 17:21:12.000
16.0,119090.0,33593.0,1.0,4.0,2.0,2.0,2976.0,2017-02-16 17:21:45.600
9.0,34659.0,38807.0,3.0,5.0,2.0,1.0,6754.0,2017-02-16 17:22:19.200
9.0,67974.0,30132.0,4.0,5.0,2.0,1.0,3398.0,2017-02-16 17:22:52.800
5.0,131334.0,33707.0,2.0,4.0,3.0,2.0,4333.0,2017-02-16 17:23:26.400
9.0,150866.0,25818.0,1.0,2.0,1.0,1.0,4844.0,2017-02-16 17:24:00.000
18.0,155027.0,41434.0,1.0,3.0,3.0,1.0,3185.0,2017-02-16 17:24:33.600
5.0,112685.0,28134.0,3.0,2.0,3.0,2.0,4032.0,2017-02-16 17:25:07.200
14.0,61278.0,19465.0,1.0,4.0,2.0,1.0,3838.0,2017-02-16 17:25:40.800
16.0,157583.0,32040.0,3.0,4.0,2.0,1.0,1851.0,2017-02-16 17:26:14.400
14.0,96670.0,41535.0,2.0,5.0,2.0,2.0,3090.0,2017-02-16 17:26:48.000
11.0,55324.0,40132.0,1.0,4.0,2.0,1.0,8727.0,2017-02-16 17:27:21.600
10.0,59838.0,33282.0,2.0,5.0,1.0,2.0,5603.0,2017-02-16 17:27:55.200
3.0,74136.0,28628.0,3.0,4.0,2.0,1.0,6748.0,2017-02-16 17:28:28.800
14.0,17901.0,42681.0,3.0,5.0,1.0,1.0,6250.0,2017-02-16 17:29:02.400
5.0,143149.0,42282.0,1.0,4.0,3.0,1.0,8224.0,2017-02-16 17:29:36.000
7.0,183175.0,44930.0,4.0,5.0,2.0,1.0,3243.0,2017-02-16 17:30:09.600
11.0,129430.0,27265.0,3.0,5.0,2.0,1.0,2424.0,2017-02-16 17:30:43.200
6.0,81425.0,32146.0,1.0,4.0,3.0,1.0,8238.0,2017-02-16 17:31:16.800
6.0,111748.0,43030.0,1.0,4.0,3.0,1.0,9084.0,2017-02-16 17:31:50.400
17.0,172618.0,39294.0,1.0,5.0,2.0,2.0,2060.0,2017-02-16 17:32:24.000
12.0,99774.0,20232.0,2.0,2.0,2.0,1.0,3147.0,2017-02-16 17:32:57.600
6.0,105911.0,27993.0,3.0,5.0,1.0,2.0,3560.0,2017-02-16 17:33:31.200
3.0,154963.0,38930.0,2.0,2.0,2.0,2.0,7558.0,2017-02-16 17:34:04.800
12.0,25451.0,17621.0,2.0,4.0,3.0,1.0,3986.0,2017-02-16 17:34:38.400
14.0,57028.0,40060.0,4.0,5.0,2.0,1.0,3397.0,2017-02-16 17:35:12.000
7.0,151301.0,36473.0,2.0,3.0,2.0,1.0,5890.0,2017-02-16 17:35:45.600
10.0,77300.0,32299.0,2.0,5.0,3.0,2.0,3473.0,2017-02-16 17:36:19.200
20.0,109244.0,33658.0,3.0,2.0,1.0,1.0,3124.0,2017-02-16 17:36:52.800
6.0,147524.0,28476.0,3.0,3.0,3.0,2.0,2681.0,2017-02-16 17:37:26.400
17.0,21764.0,32430.0,1.0,2.0,1.0,1.0,6546.0,2017-02-16 17:38:00.000
3.0,90175.0,26466.0,1.0,5.0,2.0,1.0,8730.0,2017-02-16 17:38:33.600
5.0,178625.0,26047.0,5.0,5.0,1.0,2.0,1421.0,2017-02-16 17:39:07.200
11.0,161184.0,36419.0,2.0,3.0,2.0,2.0,3304.0,2017-02-16 17:39:40.800
5.0,190903.0,40820.0,1.0,4.0,3.0,1.0,6956.0,2017-02-16 17:40:14.400
13.0,148373.0,38563.0,1.0,5.0,2.0,2.0,3054.0,2017-02-16 17:40:48.000
17.0,94759.0,37857.0,4.0,4.0,2.0,1.0,2170.0,2017-02-16 17:41:21.600
14.0,24241.0,22234.0,3.0,5.0,3.0,2.0,1917.0,2017-02-16 17:41:55.200
10.0,172351.0,26913.0,1.0,4.0,1.0,1.0,3684.0,2017-02-16 17:42:28.800
19.0,106599.0,34330.0,4.0,5.0,3.0,1.0,997.0,2017-02-16 17:43:02.400
13.0,99194.0,36131.0,2.0,4.0,2.0,2.0,3340.0,2017-02-16 17:43:36.000
2.0,94158.0,48334.0,2.0,3.0,1.0,1.0,13145.0,2017-02-16 17:44:09.600
7.0,145416.0,36540.0,2.0,4.0,3.0,1.0,4945.0,2017-02-16 17:44:43.200
8.0,56725.0,38427.0,2.0,3.0,3.0,1.0,8274.0,2017-02-16 17:45:16.800
6.0,142666.0,36353.0,3.0,4.0,3.0,1.0,4252.0,2017-02-16 17:45:50.400
9.0,71140.0,30080.0,1.0,5.0,3.0,1.0,6358.0,2017-02-16 17:46:24.000
16.0,94445.0,37297.0,1.0,3.0,1.0,1.0,5367.0,2017-02-16 17:46:57.600
3.0,110863.0,22653.0,4.0,4.0,3.0,1.0,3479.0,2017-02-16 17:47:31.200
7.0,123089.0,32113.0,1.0,3.0,2.0,1.0,7064.0,2017-02-16 17:48:04.800
9.0,97910.0,45345.0,2.0,4.0,3.0,1.0,6474.0,2017-02-16 17:48:38.400
10.0,72953.0,34525.0,1.0,2.0,2.0,1.0,8239.0,2017-02-16 17:49:12.000
6.0,60526.0,33610.0,2.0,4.0,1.0,1.0,9050.0,2017-02-16 17:49:45.600
2.0,68677.0,42399.0,1.0,4.0,3.0,2.0,15702.0,2017-02-16 17:50:19.200
2.0,67986.0,27681.0,4.0,5.0,1.0,1.0,6532.0,2017-02-16 17:50:52.800
10.0,124913.0,39827.0,5.0,4.0,2.0,1.0,2842.0,2017-02-16 17:51:26.400
13.0,21544.0,38297.0,1.0,5.0,1.0,2.0,8313.0,2017-02-16 17:52:00.000
4.0,159960.0,34165.0,2.0,4.0,2.0,2.0,4965.0,2017-02-16 17:52:33.600
12.0,21877.0,35361.0,1.0,4.0,3.0,2.0,7409.0,2017-02-16 17:53:07.200
5.0,104357.0,29572.0,3.0,4.0,2.0,1.0,4836.0,2017-02-16 17:53:40.800
7.0,140761.0,25219.0,2.0,4.0,2.0,1.0,4375.0,2017-02-16 17:54:14.400
4.0,77644.0,25784.0,1.0,5.0,3.0,1.0,7960.0,2017-02-16 17:54:48.000
18.0,35319.0,43460.0,2.0,2.0,2.0,1.0,5976.0,2017-02-16 17:55:21.600
17.0,165420.0,23267.0,1.0,4.0,2.0,1.0,1653.0,2017-02-16 17:55:55.200
9.0,70426.0,20530.0,3.0,5.0,3.0,1.0,2611.0,2017-02-16 17:56:28.800
6.0,132095.0,38267.0,1.0,5.0,2.0,1.0,7767.0,2017-02-16 17:57:02.400
10.0,116915.0,29200.0,2.0,5.0,3.0,1.0,3487.0,2017-02-16 17:57:36.000
15.0,39697.0,37131.0,1.0,4.0,2.0,1.0,6600.0,2017-02-16 17:58:09.600
18.0,3205.0,37382.0,1.0,4.0,2.0,2.0,6401.0,2017-02-16 17:58:43.200
14.0,142145.0,30069.0,1.0,4.0,1.0,1.0,3930.0,2017-02-16 17:59:16.800
10.0,101792.0,34456.0,1.0,5.0,2.0,1.0,5940.0,2017-02-16 17:59:50.400
3.0,116642.0,40674.0,1.0,4.0,1.0,1.0,11917.0,2017-02-16 18:00:24.000
18.0,129322.0,20264.0,3.0,2.0,2.0,1.0,1352.0,2017-02-16 18:00:57.600
3.0,173792.0,42394.0,3.0,5.0,3.0,1.0,5185.0,2017-02-16 18:01:31.200
16.0,89581.0,27514.0,1.0,5.0,2.0,1.0,3254.0,2017-02-16 18:02:04.800
11.0,68326.0,17565.0,2.0,4.0,1.0,1.0,3569.0,2017-02-16 18:02:38.400
14.0,36663.0,41119.0,1.0,5.0,3.0,2.0,5808.0,2017-02-16 18:03:12.000
14.0,126178.0,24373.0,1.0,5.0,2.0,2.0,2026.0,2017-02-16 18:03:45.600
11.0,54035.0,30852.0,3.0,4.0,2.0,2.0,3757.0,2017-02-16 18:04:19.200
1.0,128917.0,25111.0,2.0,4.0,2.0,2.0,5735.0,2017-02-16 18:04:52.800
9.0,162295.0,30085.0,1.0,5.0,2.0,1.0,3900.0,2017-02-16 18:05:26.400
4.0,95146.0,27055.0,1.0,5.0,2.0,1.0,7604.0,2017-02-16 18:06:00.000
5.0,106558.0,24816.0,5.0,4.0,2.0,1.0,2812.0,2017-02-16 18:06:33.600
4.0,78663.0,23395.0,2.0,4.0,1.0,1.0,7272.0,2017-02-16 18:07:07.200
10.0,114001.0,38031.0,1.0,4.0,3.0,1.0,5802.0,2017-02-16 18:07:40.800
12.0,83336.0,26624.0,2.0,5.0,2.0,1.0,3714.0,2017-02-16 18:08:14.400
11.0,101244.0,19457.0,1.0,4.0,2.0,2.0,2908.0,2017-02-16 18:08:48.000
11.0,172208.0,25844.0,1.0,4.0,3.0,1.0,2441.0,2017-02-16 18:09:21.600
5.0,183014.0,23504.0,1.0,4.0,2.0,1.0,4125.0,2017-02-16 18:09:55.200
18.0,165420.0,35350.0,1.0,3.0,3.0,1.0,2272.0,2017-02-16 18:10:28.800
9.0,151320.0,21602.0,2.0,4.0,1.0,1.0,3100.0,2017-02-16 18:11:02.400
6.0,26567.0,30309.0,3.0,4.0,2.0,1.0,7231.0,2017-02-16 18:11:36.000
10.0,54122.0,46020.0,4.0,4.0,3.0,1.0,5244.0,2017-02-16 18:12:09.600
13.0,87223.0,45455.0,3.0,2.0,1.0,1.0,5548.0,2017-02-16 18:12:43.200
3.0,95292.0,28876.0,2.0,4.0,2.0,1.0,7503.0,2017-02-16 18:13:16.800
5.0,162955.0,39441.0,1.0,2.0,2.0,1.0,8861.0,2017-02-16 18:13:50.400
12.0,99297.0,24353.0,2.0,4.0,1.0,1.0,3672.0,2017-02-16 18:14:24.000
17.0,19705.0,29662.0,2.0,5.0,2.0,2.0,3388.0,2017-02-16 18:14:57.600
17.0,134446.0,25631.0,5.0,2.0,2.0,2.0,788.0,2017-02-16 18:15:31.200
7.0,162776.0,25308.0,5.0,4.0,3.0,1.0,989.0,2017-02-16 18:16:04.800
12.0,80805.0,38635.0,3.0,5.0,3.0,1.0,3397.0,2017-02-16 18:16:38.400
15.0,95119.0,35099.0,2.0,5.0,3.0,1.0,2984.0,2017-02-16 18:17:12.000
11.0,128984.0,27622.0,3.0,4.0,2.0,1.0,2751.0,2017-02-16 18:17:45.600
5.0,63540.0,19222.0,1.0,3.0,2.0,2.0,7996.0,2017-02-16 18:18:19.200
3.0,163913.0,42546.0,3.0,5.0,2.0,2.0,5221.0,2017-02-16 18:18:52.800
14.0,103854.0,41280.0,1.0,5.0,2.0,1.0,5308.0,2017-02-16 18:19:26.400
15.0,146029.0,29274.0,1.0,5.0,1.0,1.0,3304.0,2017-02-16 18:20:00.000
7.0,132885.0,26509.0,4.0,4.0,1.0,1.0,3089.0,2017-02-16 18:20:33.600
11.0,26003.0,19999.0,5.0,4.0,3.0,1.0,1894.0,2017-02-16 18:21:07.200
11.0,120889.0,27381.0,1.0,5.0,1.0,2.0,4043.0,2017-02-16 18:21:40.800
15.0,58320.0,33008.0,1.0,4.0,2.0,2.0,4406.0,2017-02-16 18:22:14.400
8.0,165012.0,43372.0,1.0,3.0,2.0,1.0,6842.0,2017-02-16 18:22:48.000
18.0,137177.0,33093.0,1.0,5.0,2.0,1.0,2608.0,2017-02-16 18:23:21.600
16.0,31377.0,21347.0,3.0,2.0,2.0,1.0,2721.0,2017-02-16 18:23:55.200
11.0,15097.0,44679.0,1.0,3.0,3.0,2.0,10411.0,2017-02-16 18:24:28.800
19.0,36265.0,40471.0,3.0,5.0,3.0,2.0,2154.0,2017-02-16 18:25:02.400
6.0,182217.0,36052.0,2.0,4.0,2.0,1.0,5124.0,2017-02-16 18:25:36.000
11.0,62399.0,23533.0,2.0,4.0,2.0,1.0,4376.0,2017-02-16 18:26:09.600
6.0,110154.0,24272.0,2.0,3.0,3.0,2.0,4084.0,2017-02-16 18:26:43.200
16.0,11766.0,29011.0,1.0,4.0,2.0,1.0,5523.0,2017-02-16 18:27:16.800
15.0,102064.0,25954.0,1.0,5.0,2.0,1.0,3278.0,2017-02-16 18:27:50.400
6.0,111525.0,33755.0,5.0,2.0,3.0,2.0,2913.0,2017-02-16 18:28:24.000
9.0,96765.0,28822.0,1.0,4.0,1.0,1.0,6525.0,2017-02-16 18:28:57.600
13.0,61782.0,31893.0,4.0,2.0,2.0,1.0,3730.0,2017-02-16 18:29:31.200
7.0,132286.0,25874.0,1.0,5.0,2.0,1.0,4873.0,2017-02-16 18:30:04.800
11.0,129070.0,43219.0,2.0,4.0,2.0,1.0,4867.0,2017-02-16 18:30:38.400
13.0,150854.0,34951.0,1.0,5.0,2.0,2.0,2786.0,2017-02-16 18:31:12.000
6.0,51786.0,35268.0,5.0,5.0,2.0,1.0,5528.0,2017-02-16 18:31:45.600
11.0,92305.0,18269.0,1.0,3.0,3.0,1.0,3713.0,2017-02-16 18:32:19.200
7.0,43405.0,38958.0,1.0,5.0,2.0,1.0,12279.0,2017-02-16 18:32:52.800
5.0,37161.0,31973.0,2.0,5.0,2.0,1.0,10067.0,2017-02-16 18:33:26.400
11.0,131411.0,23971.0,3.0,5.0,2.0,1.0,1935.0,2017-02-16 18:34:00.000
19.0,63231.0,38582.0,1.0,5.0,3.0,2.0,3276.0,2017-02-16 18:34:33.600
12.0,136910.0,38764.0,3.0,4.0,3.0,2.0,1623.0,2017-02-16 18:35:07.200
