id,identifier,work_home_actual
50141,50141,1
50142,50142,1
50143,50143,0
50144,50144,1
50145,50145,1
50146,50146,0
50147,50147,0
50148,50148,1
50149,50149,1
50150,50150,0
50151,50151,1
50152,50152,0
50153,50153,1
50154,50154,1
50155,50155,0
50156,50156,1
50157,50157,1
50158,50158,1
50159,50159,0
50160,50160,0
50161,50161,0
50162,50162,0
50163,50163,1
50164,50164,0
50165,50165,1
50166,50166,0
50167,50167,0
50168,50168,0
50169,50169,1
50170,50170,1
50171,50171,0
50172,50172,1
50173,50173,0
50174,50174,1
50175,50175,1
50176,50176,1
50177,50177,0
50178,50178,0
50179,50179,0
50180,50180,0
50181,50181,0
50182,50182,0
50183,50183,0
50184,50184,1
50185,50185,1
50186,50186,1
50187,50187,0
50188,50188,1
50189,50189,0
50190,50190,1
50191,50191,1
50192,50192,1
50193,50193,0
50194,50194,0
50195,50195,0
50196,50196,1
50197,50197,0
50198,50198,0
50199,50199,0
50200,50200,1
50201,50201,1
50202,50202,1
50203,50203,1
50204,50204,1
50205,50205,0
50206,50206,0
50207,50207,1
50208,50208,0
50209,50209,0
50210,50210,0
50211,50211,0
50212,50212,0
50213,50213,0
50214,50214,1
50215,50215,0
50216,50216,0
50217,50217,1
50218,50218,0
50219,50219,1
50220,50220,1
50221,50221,1
50222,50222,0
50223,50223,0
50224,50224,0
50225,50225,0
50226,50226,1
50227,50227,1
50228,50228,0
50229,50229,0
50230,50230,1
50231,50231,0
50232,50232,0
50233,50233,0
50234,50234,1
50235,50235,0
50236,50236,0
50237,50237,0
50238,50238,0
50239,50239,0
50240,50240,0
50241,50241,0
50242,50242,1
50243,50243,1
50244,50244,0
50245,50245,1
50246,50246,1
50247,50247,1
50248,50248,1
50249,50249,0
50250,50250,1
50251,50251,0
50252,50252,1
50253,50253,0
50254,50254,0
50255,50255,1
50256,50256,1
50257,50257,0
50258,50258,1
50259,50259,1
50260,50260,0
50261,50261,1
50262,50262,1
50263,50263,1
50264,50264,1
50265,50265,1
50266,50266,1
50267,50267,0
50268,50268,1
50269,50269,0
50270,50270,1
50271,50271,1
50272,50272,1
50273,50273,0
50274,50274,0
50275,50275,0
50276,50276,1
50277,50277,0
50278,50278,1
50279,50279,0
50280,50280,1
50281,50281,1
50282,50282,0
50283,50283,0
50284,50284,0
50285,50285,0
50286,50286,1
50287,50287,0
50288,50288,1
50289,50289,0
50290,50290,1
50291,50291,0
50292,50292,1
50293,50293,1
50294,50294,1
50295,50295,1
50296,50296,1
50297,50297,1
50298,50298,0
50299,50299,0
50300,50300,0
50301,50301,0
50302,50302,1
50303,50303,1
50304,50304,0
50305,50305,0
50306,50306,1
50307,50307,1
50308,50308,1
50309,50309,0
50310,50310,1
50311,50311,1
50312,50312,0
50313,50313,1
50314,50314,0
50315,50315,0
50316,50316,0
50317,50317,0
50318,50318,1
50319,50319,0
50320,50320,1
50321,50321,1
50322,50322,0
50323,50323,1
50324,50324,0
50325,50325,1
50326,50326,0
50327,50327,1
50328,50328,0
50329,50329,0
50330,50330,0
50331,50331,0
50332,50332,1
50333,50333,1
50334,50334,1
50335,50335,1
50336,50336,1
50337,50337,0
50338,50338,0
50339,50339,0
50340,50340,1
50341,50341,0
50342,50342,1
50343,50343,1
50344,50344,0
50345,50345,1
50346,50346,1
50347,50347,1
50348,50348,0
50349,50349,1
50350,50350,0
50351,50351,0
50352,50352,1
50353,50353,0
50354,50354,0
50355,50355,0
50356,50356,0
50357,50357,1
50358,50358,0
50359,50359,1
50360,50360,0
50361,50361,1
50362,50362,1
50363,50363,0
50364,50364,1
50365,50365,0
50366,50366,0
50367,50367,1
50368,50368,1
50369,50369,1
50370,50370,0
50371,50371,0
50372,50372,1
50373,50373,0
50374,50374,1
50375,50375,0
50376,50376,0
50377,50377,1
50378,50378,1
50379,50379,1
50380,50380,1
50381,50381,0
50382,50382,0
50383,50383,0
50384,50384,1
50385,50385,0
50386,50386,0
50387,50387,0
50388,50388,1
50389,50389,1
50390,50390,1
50391,50391,1
50392,50392,1
50393,50393,1
50394,50394,0
50395,50395,1
50396,50396,0
50397,50397,0
50398,50398,0
50399,50399,1
50400,50400,1
50401,50401,1
50402,50402,1
50403,50403,0
50404,50404,1
50405,50405,1
50406,50406,0
50407,50407,1
50408,50408,1
50409,50409,1
50410,50410,0
50411,50411,0
50412,50412,1
50413,50413,0
50414,50414,0
50415,50415,1
50416,50416,0
50417,50417,1
50418,50418,1
50419,50419,0
50420,50420,1
50421,50421,0
50422,50422,1
50423,50423,1
50424,50424,0
50425,50425,0
50426,50426,0
50427,50427,1
50428,50428,1
50429,50429,0
50430,50430,1
50431,50431,0
50432,50432,1
50433,50433,0
50434,50434,0
50435,50435,0
50436,50436,0
50437,50437,0
50438,50438,0
50439,50439,1
50440,50440,0
50441,50441,0
50442,50442,1
50443,50443,0
50444,50444,1
50445,50445,1
50446,50446,0
50447,50447,1
50448,50448,1
50449,50449,1
50450,50450,0
50451,50451,1
50452,50452,1
50453,50453,1
50454,50454,0
50455,50455,0
50456,50456,0
50457,50457,0
50458,50458,0
50459,50459,1
50460,50460,0
50461,50461,1
50462,50462,0
50463,50463,0
50464,50464,0
50465,50465,1
50466,50466,0
50467,50467,1
50468,50468,1
50469,50469,1
50470,50470,1
50471,50471,0
50472,50472,1
50473,50473,0
50474,50474,1
50475,50475,1
50476,50476,1
50477,50477,1
50478,50478,0
50479,50479,0
50480,50480,0
50481,50481,0
50482,50482,1
50483,50483,0
50484,50484,1
50485,50485,0
50486,50486,0
50487,50487,1
50488,50488,0
50489,50489,0
50490,50490,1
50491,50491,0
50492,50492,1
50493,50493,1
50494,50494,1
50495,50495,1
50496,50496,1
50497,50497,1
50498,50498,1
50499,50499,0
50500,50500,0
50501,50501,0
50502,50502,0
50503,50503,0
50504,50504,1
50505,50505,1
50506,50506,1
50507,50507,0
50508,50508,0
50509,50509,1
50510,50510,1
50511,50511,1
50512,50512,1
50513,50513,1
50514,50514,0
50515,50515,0
50516,50516,1
50517,50517,0
50518,50518,0
50519,50519,0
50520,50520,0
50521,50521,1
50522,50522,1
50523,50523,0
50524,50524,1
50525,50525,0
50526,50526,1
50527,50527,1
50528,50528,1
50529,50529,1
50530,50530,0
50531,50531,0
50532,50532,1
50533,50533,1
50534,50534,1
50535,50535,0
50536,50536,0
50537,50537,1
50538,50538,0
50539,50539,1
50540,50540,1
50541,50541,1
50542,50542,0
50543,50543,1
50544,50544,1
50545,50545,0
50546,50546,0
50547,50547,0
50548,50548,0
50549,50549,1
50550,50550,1
50551,50551,1
50552,50552,1
50553,50553,0
50554,50554,0
50555,50555,1
50556,50556,1
50557,50557,1
50558,50558,1
50559,50559,1
50560,50560,0
50561,50561,1
50562,50562,0
50563,50563,1
50564,50564,0
50565,50565,1
50566,50566,1
50567,50567,0
50568,50568,0
50569,50569,1
50570,50570,1
50571,50571,1
50572,50572,1
50573,50573,0
50574,50574,0
50575,50575,1
50576,50576,1
50577,50577,1
50578,50578,0
50579,50579,1
50580,50580,1
50581,50581,1
50582,50582,1
50583,50583,1
50584,50584,1
50585,50585,1
50586,50586,1
50587,50587,0
50588,50588,0
50589,50589,1
50590,50590,1
50591,50591,1
50592,50592,0
50593,50593,0
50594,50594,0
50595,50595,1
50596,50596,0
50597,50597,0
50598,50598,1
50599,50599,1
50600,50600,1
50601,50601,0
50602,50602,0
50603,50603,1
50604,50604,0
50605,50605,0
50606,50606,0
50607,50607,0
50608,50608,0
50609,50609,1
50610,50610,0
50611,50611,0
50612,50612,0
50613,50613,1
50614,50614,0
50615,50615,0
50616,50616,0
50617,50617,1
50618,50618,1
50619,50619,1
50620,50620,1
50621,50621,1
50622,50622,0
50623,50623,1
50624,50624,1
50625,50625,1
50626,50626,1
50627,50627,0
50628,50628,0
50629,50629,0
50630,50630,0
50631,50631,0
50632,50632,0
50633,50633,0
50634,50634,0
50635,50635,0
50636,50636,1
50637,50637,0
50638,50638,1
50639,50639,1
50640,50640,1
50641,50641,1
50642,50642,0
50643,50643,0
50644,50644,1
50645,50645,0
50646,50646,1
50647,50647,1
50648,50648,1
50649,50649,0
50650,50650,1
50651,50651,1
50652,50652,0
50653,50653,0
50654,50654,0
50655,50655,0
50656,50656,1
50657,50657,0
50658,50658,0
50659,50659,0
50660,50660,0
50661,50661,1
50662,50662,0
50663,50663,1
50664,50664,1
50665,50665,0
50666,50666,1
50667,50667,1
50668,50668,0
50669,50669,1
50670,50670,1
50671,50671,0
50672,50672,1
50673,50673,0
50674,50674,1
50675,50675,0
50676,50676,1
50677,50677,1
50678,50678,1
50679,50679,1
50680,50680,1
50681,50681,0
50682,50682,1
50683,50683,0
50684,50684,1
50685,50685,1
50686,50686,0
50687,50687,1
50688,50688,1
50689,50689,0
50690,50690,0
50691,50691,0
50692,50692,1
50693,50693,1
50694,50694,0
50695,50695,0
50696,50696,0
50697,50697,0
50698,50698,1
50699,50699,0
50700,50700,0
50701,50701,0
50702,50702,0
50703,50703,1
50704,50704,0
50705,50705,0
50706,50706,0
50707,50707,0
50708,50708,1
50709,50709,0
50710,50710,0
50711,50711,0
50712,50712,0
50713,50713,1
50714,50714,0
50715,50715,0
50716,50716,1
50717,50717,1
50718,50718,1
50719,50719,1
50720,50720,1
50721,50721,0
50722,50722,0
50723,50723,0
50724,50724,0
50725,50725,1
50726,50726,0
50727,50727,0
50728,50728,1
50729,50729,1
50730,50730,0
50731,50731,1
50732,50732,1
50733,50733,1
50734,50734,1
50735,50735,0
50736,50736,1
50737,50737,1
50738,50738,1
50739,50739,0
50740,50740,1
50741,50741,0
50742,50742,0
50743,50743,1
50744,50744,1
50745,50745,0
50746,50746,0
50747,50747,0
50748,50748,0
50749,50749,1
50750,50750,0
50751,50751,0
50752,50752,1
50753,50753,0
50754,50754,0
50755,50755,1
50756,50756,0
50757,50757,0
50758,50758,1
50759,50759,1
50760,50760,0
50761,50761,1
50762,50762,1
50763,50763,0
50764,50764,1
50765,50765,0
50766,50766,1
50767,50767,0
50768,50768,0
50769,50769,1
50770,50770,0
50771,50771,0
50772,50772,1
50773,50773,1
50774,50774,0
50775,50775,1
50776,50776,1
50777,50777,0
50778,50778,1
50779,50779,0
50780,50780,1
50781,50781,1
50782,50782,0
50783,50783,0
50784,50784,0
50785,50785,0
50786,50786,1
50787,50787,1
50788,50788,0
50789,50789,0
50790,50790,1
50791,50791,0
50792,50792,0
50793,50793,0
50794,50794,1
50795,50795,1
50796,50796,0
50797,50797,0
50798,50798,0
50799,50799,0
50800,50800,0
50801,50801,0
50802,50802,1
50803,50803,1
50804,50804,1
50805,50805,1
50806,50806,1
50807,50807,1
50808,50808,0
50809,50809,0
50810,50810,0
50811,50811,1
50812,50812,0
50813,50813,1
50814,50814,1
50815,50815,1
50816,50816,0
50817,50817,0
50818,50818,1
50819,50819,1
50820,50820,0
50821,50821,0
50822,50822,1
50823,50823,1
50824,50824,0
50825,50825,0
50826,50826,0
50827,50827,1
50828,50828,0
50829,50829,1
50830,50830,0
50831,50831,0
50832,50832,0
50833,50833,1
50834,50834,1
50835,50835,0
50836,50836,1
50837,50837,1
50838,50838,0
50839,50839,0
50840,50840,1
50841,50841,1
50842,50842,0
50843,50843,1
50844,50844,0
50845,50845,0
50846,50846,0
50847,50847,0
50848,50848,0
50849,50849,1
50850,50850,0
50851,50851,0
50852,50852,1
50853,50853,0
50854,50854,1
50855,50855,0
50856,50856,0
50857,50857,0
50858,50858,0
50859,50859,0
50860,50860,1
50861,50861,1
50862,50862,0
50863,50863,0
50864,50864,0
50865,50865,0
50866,50866,1
50867,50867,0
50868,50868,0
50869,50869,1
50870,50870,0
50871,50871,0
50872,50872,0
50873,50873,1
50874,50874,1
50875,50875,0
50876,50876,1
50877,50877,0
50878,50878,0
50879,50879,0
50880,50880,0
50881,50881,0
50882,50882,0
50883,50883,1
50884,50884,1
50885,50885,1
50886,50886,1
50887,50887,0
50888,50888,1
50889,50889,1
50890,50890,1
50891,50891,0
50892,50892,0
50893,50893,0
50894,50894,0
50895,50895,0
50896,50896,1
50897,50897,0
50898,50898,0
50899,50899,1
50900,50900,1
50901,50901,0
50902,50902,0
50903,50903,1
50904,50904,0
50905,50905,1
50906,50906,0
50907,50907,1
50908,50908,1
50909,50909,1
50910,50910,0
50911,50911,1
50912,50912,0
50913,50913,1
50914,50914,0
50915,50915,0
50916,50916,0
50917,50917,0
50918,50918,0
50919,50919,1
50920,50920,0
50921,50921,1
50922,50922,1
50923,50923,0
50924,50924,0
50925,50925,0
50926,50926,0
50927,50927,1
50928,50928,0
50929,50929,0
50930,50930,0
50931,50931,1
50932,50932,0
50933,50933,0
50934,50934,1
50935,50935,1
50936,50936,1
50937,50937,0
50938,50938,0
50939,50939,1
50940,50940,0
50941,50941,1
50942,50942,0
50943,50943,1
50944,50944,0
50945,50945,1
50946,50946,1
50947,50947,0
50948,50948,0
50949,50949,0
50950,50950,0
50951,50951,1
50952,50952,1
50953,50953,0
50954,50954,1
50955,50955,0
50956,50956,1
50957,50957,1
50958,50958,1
50959,50959,0
50960,50960,0
50961,50961,1
50962,50962,0
50963,50963,0
50964,50964,0
50965,50965,0
50966,50966,1
50967,50967,0
50968,50968,1
50969,50969,0
50970,50970,0
50971,50971,0
50972,50972,1
50973,50973,0
50974,50974,1
50975,50975,1
50976,50976,1
50977,50977,1
50978,50978,1
50979,50979,0
50980,50980,0
50981,50981,0
50982,50982,0
50983,50983,0
50984,50984,0
50985,50985,0
50986,50986,1
50987,50987,1
50988,50988,0
50989,50989,1
50990,50990,1
50991,50991,0
50992,50992,1
50993,50993,0
50994,50994,0
50995,50995,1
50996,50996,1
50997,50997,0
50998,50998,1
50999,50999,1
51000,51000,1
51001,51001,1
51002,51002,1
51003,51003,1
51004,51004,0
51005,51005,0
51006,51006,0
51007,51007,1
51008,51008,1
51009,51009,1
51010,51010,1
51011,51011,1
51012,51012,0
51013,51013,0
51014,51014,1
51015,51015,0
51016,51016,1
51017,51017,1
51018,51018,1
51019,51019,0
51020,51020,0
51021,51021,0
51022,51022,0
51023,51023,1
51024,51024,1
51025,51025,0
51026,51026,0
51027,51027,1
51028,51028,0
51029,51029,0
51030,51030,1
51031,51031,1
51032,51032,0
51033,51033,1
51034,51034,1
51035,51035,1
51036,51036,1
51037,51037,0
51038,51038,1
51039,51039,0
51040,51040,1
51041,51041,1
51042,51042,0
51043,51043,0
51044,51044,0
51045,51045,1
51046,51046,1
51047,51047,1
51048,51048,1
51049,51049,1
51050,51050,0
51051,51051,0
51052,51052,1
51053,51053,0
51054,51054,1
51055,51055,0
51056,51056,1
51057,51057,1
51058,51058,1
51059,51059,1
51060,51060,1
51061,51061,0
51062,51062,1
51063,51063,0
51064,51064,0
51065,51065,1
51066,51066,0
51067,51067,1
51068,51068,1
51069,51069,0
51070,51070,0
51071,51071,0
51072,51072,0
51073,51073,1
51074,51074,0
51075,51075,1
51076,51076,1
51077,51077,0
51078,51078,1
51079,51079,1
51080,51080,1
51081,51081,0
51082,51082,0
51083,51083,1
51084,51084,1
51085,51085,1
51086,51086,1
51087,51087,1
51088,51088,0
51089,51089,1
51090,51090,0
51091,51091,1
51092,51092,1
51093,51093,1
51094,51094,1
51095,51095,0
51096,51096,0
51097,51097,1
51098,51098,0
51099,51099,0
51100,51100,1
51101,51101,0
51102,51102,0
51103,51103,0
51104,51104,1
51105,51105,0
51106,51106,0
51107,51107,1
51108,51108,0
51109,51109,0
51110,51110,1
51111,51111,0
51112,51112,0
51113,51113,0
51114,51114,0
51115,51115,1
51116,51116,0
51117,51117,1
51118,51118,1
51119,51119,0
51120,51120,1
51121,51121,0
51122,51122,1
51123,51123,1
51124,51124,1
51125,51125,0
51126,51126,0
51127,51127,1
51128,51128,0
51129,51129,0
51130,51130,1
51131,51131,0
51132,51132,1
51133,51133,1
51134,51134,1
51135,51135,1
51136,51136,1
51137,51137,1
51138,51138,0
51139,51139,1
51140,51140,1
51141,51141,1
51142,51142,0
51143,51143,1
51144,51144,0
51145,51145,1
51146,51146,1
51147,51147,0
51148,51148,1
51149,51149,0
51150,51150,1
51151,51151,1
51152,51152,0
51153,51153,0
51154,51154,1
51155,51155,1
51156,51156,0
51157,51157,1
51158,51158,1
51159,51159,0
51160,51160,1
51161,51161,1
51162,51162,1
51163,51163,1
51164,51164,1
51165,51165,1
51166,51166,0
51167,51167,1
51168,51168,0
51169,51169,0
51170,51170,0
51171,51171,0
51172,51172,1
51173,51173,1
51174,51174,1
51175,51175,1
51176,51176,0
51177,51177,0
51178,51178,1
51179,51179,0
51180,51180,0
51181,51181,0
51182,51182,1
51183,51183,0
51184,51184,0
51185,51185,1
51186,51186,0
51187,51187,1
51188,51188,0
51189,51189,0
51190,51190,1
51191,51191,1
51192,51192,1
51193,51193,0
51194,51194,0
51195,51195,0
51196,51196,0
51197,51197,0
51198,51198,1
51199,51199,0
51200,51200,1
51201,51201,0
51202,51202,1
51203,51203,0
51204,51204,0
51205,51205,0
51206,51206,0
51207,51207,0
51208,51208,1
51209,51209,0
51210,51210,1
51211,51211,0
51212,51212,1
51213,51213,0
51214,51214,1
51215,51215,0
51216,51216,0
51217,51217,0
51218,51218,1
51219,51219,0
51220,51220,0
51221,51221,0
51222,51222,0
51223,51223,1
51224,51224,1
51225,51225,0
51226,51226,0
51227,51227,0
51228,51228,0
51229,51229,0
51230,51230,0
51231,51231,0
51232,51232,1
51233,51233,0
51234,51234,0
51235,51235,0
51236,51236,1
51237,51237,0
51238,51238,1
51239,51239,1
51240,51240,1
51241,51241,1
51242,51242,0
51243,51243,1
51244,51244,0
51245,51245,1
51246,51246,0
51247,51247,1
51248,51248,1
51249,51249,1
51250,51250,1
51251,51251,0
51252,51252,0
51253,51253,0
51254,51254,1
51255,51255,0
51256,51256,1
51257,51257,1
51258,51258,1
51259,51259,0
51260,51260,0
51261,51261,0
51262,51262,0
51263,51263,0
51264,51264,1
51265,51265,0
51266,51266,1
51267,51267,1
51268,51268,1
51269,51269,0
51270,51270,0
51271,51271,0
51272,51272,1
51273,51273,0
51274,51274,1
51275,51275,0
51276,51276,1
51277,51277,1
51278,51278,0
51279,51279,1
51280,51280,0
51281,51281,0
51282,51282,1
51283,51283,0
51284,51284,1
51285,51285,1
51286,51286,1
51287,51287,1
51288,51288,1
51289,51289,1
51290,51290,1
51291,51291,1
51292,51292,1
51293,51293,1
51294,51294,1
51295,51295,1
51296,51296,0
51297,51297,0
51298,51298,0
51299,51299,1
51300,51300,0
51301,51301,0
51302,51302,0
51303,51303,1
51304,51304,1
51305,51305,1
51306,51306,1
51307,51307,0
51308,51308,0
51309,51309,0
51310,51310,0
51311,51311,0
51312,51312,1
51313,51313,1
51314,51314,1
51315,51315,1
51316,51316,0
51317,51317,0
51318,51318,0
51319,51319,0
51320,51320,1
51321,51321,1
51322,51322,1
51323,51323,1
51324,51324,0
51325,51325,1
51326,51326,1
51327,51327,1
51328,51328,0
51329,51329,1
51330,51330,1
51331,51331,0
51332,51332,1
51333,51333,1
51334,51334,1
51335,51335,0
51336,51336,0
51337,51337,1
51338,51338,1
51339,51339,1
51340,51340,1
51341,51341,1
51342,51342,1
51343,51343,1
51344,51344,0
51345,51345,0
51346,51346,1
51347,51347,0
51348,51348,0
51349,51349,1
51350,51350,1
51351,51351,1
51352,51352,0
51353,51353,1
51354,51354,1
51355,51355,0
51356,51356,1
51357,51357,0
51358,51358,1
51359,51359,1
51360,51360,1
51361,51361,0
51362,51362,1
51363,51363,1
51364,51364,0
51365,51365,1
51366,51366,0
51367,51367,0
51368,51368,1
51369,51369,1
51370,51370,1
51371,51371,1
51372,51372,1
51373,51373,0
51374,51374,0
51375,51375,1
51376,51376,1
51377,51377,0
51378,51378,0
51379,51379,0
51380,51380,1
51381,51381,1
51382,51382,0
51383,51383,1
51384,51384,1
51385,51385,1
51386,51386,0
51387,51387,1
51388,51388,1
51389,51389,1
51390,51390,1
51391,51391,1
51392,51392,0
51393,51393,1
51394,51394,1
51395,51395,1
51396,51396,0
51397,51397,1
51398,51398,1
51399,51399,1
51400,51400,1
51401,51401,0
51402,51402,1
51403,51403,1
51404,51404,1
51405,51405,1
51406,51406,0
51407,51407,0
51408,51408,1
51409,51409,0
51410,51410,1
51411,51411,0
51412,51412,0
51413,51413,0
51414,51414,1
51415,51415,1
51416,51416,0
51417,51417,0
51418,51418,0
51419,51419,1
51420,51420,1
51421,51421,1
51422,51422,0
51423,51423,0
51424,51424,1
51425,51425,1
51426,51426,0
51427,51427,0
51428,51428,1
51429,51429,1
51430,51430,1
51431,51431,0
51432,51432,0
51433,51433,1
51434,51434,1
51435,51435,0
51436,51436,0
51437,51437,1
51438,51438,1
51439,51439,1
51440,51440,0
51441,51441,0
51442,51442,1
51443,51443,1
51444,51444,0
51445,51445,1
51446,51446,0
51447,51447,0
51448,51448,0
51449,51449,1
51450,51450,0
51451,51451,1
51452,51452,0
51453,51453,1
51454,51454,0
51455,51455,1
51456,51456,0
51457,51457,1
51458,51458,0
51459,51459,1
51460,51460,1
51461,51461,0
51462,51462,0
51463,51463,0
51464,51464,0
51465,51465,1
51466,51466,1
51467,51467,1
51468,51468,0
51469,51469,0
51470,51470,0
51471,51471,1
51472,51472,0
51473,51473,0
51474,51474,1
51475,51475,1
51476,51476,1
51477,51477,0
51478,51478,0
51479,51479,1
51480,51480,1
51481,51481,1
51482,51482,0
51483,51483,0
51484,51484,0
51485,51485,1
51486,51486,1
51487,51487,0
51488,51488,1
51489,51489,0
51490,51490,1
51491,51491,0
51492,51492,1
51493,51493,0
51494,51494,0
51495,51495,1
51496,51496,0
51497,51497,0
51498,51498,0
51499,51499,1
51500,51500,0
51501,51501,0
51502,51502,1
51503,51503,1
51504,51504,0
51505,51505,1
51506,51506,0
51507,51507,0
51508,51508,1
51509,51509,1
51510,51510,1
51511,51511,1
51512,51512,0
51513,51513,0
51514,51514,0
51515,51515,1
51516,51516,1
51517,51517,1
51518,51518,1
51519,51519,0
51520,51520,1
51521,51521,0
51522,51522,1
51523,51523,1
51524,51524,0
51525,51525,1
51526,51526,1
51527,51527,1
51528,51528,1
51529,51529,1
51530,51530,0
51531,51531,1
51532,51532,0
51533,51533,1
51534,51534,1
51535,51535,1
51536,51536,0
51537,51537,1
51538,51538,0
51539,51539,0
51540,51540,0
51541,51541,1
51542,51542,0
51543,51543,1
51544,51544,1
51545,51545,0
51546,51546,1
51547,51547,1
51548,51548,1
51549,51549,0
51550,51550,1
51551,51551,1
51552,51552,0
51553,51553,1
51554,51554,1
51555,51555,1
51556,51556,1
51557,51557,1
51558,51558,0
51559,51559,0
51560,51560,1
51561,51561,0
51562,51562,1
51563,51563,0
51564,51564,1
51565,51565,0
51566,51566,0
51567,51567,0
51568,51568,1
51569,51569,0
51570,51570,1
51571,51571,0
51572,51572,0
51573,51573,0
51574,51574,0
51575,51575,0
51576,51576,1
51577,51577,1
51578,51578,0
51579,51579,0
51580,51580,1
51581,51581,0
51582,51582,1
51583,51583,0
51584,51584,1
51585,51585,1
51586,51586,0
51587,51587,1
51588,51588,0
51589,51589,0
51590,51590,1
51591,51591,0
51592,51592,0
51593,51593,1
51594,51594,1
51595,51595,1
51596,51596,0
51597,51597,1
51598,51598,0
51599,51599,0
51600,51600,0
51601,51601,0
51602,51602,0
51603,51603,0
51604,51604,0
51605,51605,0
51606,51606,0
51607,51607,0
51608,51608,0
51609,51609,1
51610,51610,0
51611,51611,0
51612,51612,1
51613,51613,1
51614,51614,0
51615,51615,1
51616,51616,0
51617,51617,0
51618,51618,0
51619,51619,1
51620,51620,1
51621,51621,1
51622,51622,1
51623,51623,0
51624,51624,0
51625,51625,1
51626,51626,1
51627,51627,1
51628,51628,0
51629,51629,0
51630,51630,0
51631,51631,0
51632,51632,1
51633,51633,0
51634,51634,0
51635,51635,1
51636,51636,0
51637,51637,0
51638,51638,1
51639,51639,0
51640,51640,0
51641,51641,1
51642,51642,0
51643,51643,0
51644,51644,1
51645,51645,0
51646,51646,1
51647,51647,1
51648,51648,1
51649,51649,0
51650,51650,0
51651,51651,1
51652,51652,0
51653,51653,1
51654,51654,1
51655,51655,0
51656,51656,0
51657,51657,1
51658,51658,0
51659,51659,0
51660,51660,0
51661,51661,0
51662,51662,0
51663,51663,1
51664,51664,0
51665,51665,0
51666,51666,1
51667,51667,1
51668,51668,1
51669,51669,0
51670,51670,0
51671,51671,0
51672,51672,0
51673,51673,0
51674,51674,1
51675,51675,1
51676,51676,1
51677,51677,1
51678,51678,0
51679,51679,0
51680,51680,1
51681,51681,1
51682,51682,1
51683,51683,0
51684,51684,1
51685,51685,0
51686,51686,0
51687,51687,0
51688,51688,0
51689,51689,1
51690,51690,0
51691,51691,1
51692,51692,0
51693,51693,0
51694,51694,0
51695,51695,1
51696,51696,0
51697,51697,1
51698,51698,1
51699,51699,1
51700,51700,1
51701,51701,0
51702,51702,0
51703,51703,0
51704,51704,0
51705,51705,1
51706,51706,0
51707,51707,1
51708,51708,0
51709,51709,1
51710,51710,0
51711,51711,1
51712,51712,1
51713,51713,1
51714,51714,0
51715,51715,1
51716,51716,1
51717,51717,1
51718,51718,1
51719,51719,0
51720,51720,0
51721,51721,1
51722,51722,1
51723,51723,0
51724,51724,1
51725,51725,0
51726,51726,0
51727,51727,0
51728,51728,0
51729,51729,0
51730,51730,0
51731,51731,0
51732,51732,1
51733,51733,1
51734,51734,1
51735,51735,0
51736,51736,0
51737,51737,0
51738,51738,0
51739,51739,0
51740,51740,0
51741,51741,1
51742,51742,1
51743,51743,0
51744,51744,1
51745,51745,1
